brand,vehicle_type,battery_health_pct,range_km,top_speed_kmph,odometer_km,warranty_remaining_years,annual_maintenance_cost,Purchase_Year,Current_Year,Purchase_Price_L,Resale_Value_L,Initial_Mileage,Current_Mileage,value_for_money_score
BYD,Car,81,105,144,140236,1,32026,2023,2025,2093043,1475081,202,166,0.4
Ola,Bike,61,343,160,36713,5,29149,2018,2025,90099,34748,402,348,0.4
TVS,Bike,63,478,132,137457,3,27366,2024,2025,109294,90486,226,214,0.7
BYD,Bike,72,440,95,47977,1,23723,2024,2025,144702,120813,198,182,0.7
Hyundai,Car,91,258,175,27678,5,33318,2020,2025,2078297,1016731,348,249,0.5
Kia,Bike,81,222,81,26987,7,36732,2017,2025,162760,49368,125,114,0.3
TVS,Bike,84,459,138,66880,7,30169,2024,2025,195631,160674,372,324,0.8
TVS,Car,86,287,137,18487,1,6755,2022,2025,2042913,1395739,115,86,0.6
BYD,Car,76,113,86,104881,2,10430,2024,2025,2746687,2304479,449,389,0.4
MG,Car,65,169,141,69540,2,37836,2024,2025,2106756,1570603,300,262,0.3
Hyundai,Car,75,238,69,142812,3,27619,2024,2025,1617388,1165980,152,111,0.4
BYD,Bike,67,457,171,78542,1,39120,2023,2025,134608,97482,311,268,0.6
Hyundai,Car,92,424,81,120428,5,13220,2020,2025,1510226,808834,404,292,0.6
Hyundai,Bike,69,178,82,130612,2,14393,2022,2025,87498,51936,356,257,0.4
Kia,Car,93,393,111,132688,3,34314,2021,2025,1907140,962806,143,129,0.6
TVS,Car,78,417,101,15046,5,29729,2024,2025,1672695,1381657,426,406,0.6
Ola,Bike,73,179,100,138550,1,22282,2018,2025,96729,31166,103,85,0.3
Kia,Bike,62,245,107,149734,0,31340,2024,2025,131932,107767,345,284,0.4
Kia,Bike,82,472,128,7963,0,29420,2019,2025,87370,28316,252,211,0.6
Hyundai,Car,99,324,110,106595,3,18808,2021,2025,3103142,1561366,270,235,0.6
Mahindra,Car,70,326,148,30746,0,14163,2019,2025,836248,358831,380,370,0.5
TVS,Bike,65,481,60,101150,4,17797,2018,2025,101359,29362,212,175,0.5
MG,Bike,93,279,147,124003,5,24142,2018,2025,110885,32894,226,218,0.6
Kia,Car,60,123,156,45318,5,32730,2019,2025,1727569,686973,382,275,0.2
Ola,Bike,94,198,115,16813,3,38117,2018,2025,88578,25033,444,315,0.4
Mahindra,Bike,84,490,160,54768,3,9235,2019,2025,180264,62327,332,276,0.8
Mahindra,Car,88,369,130,99458,7,7131,2018,2025,2314729,574258,286,257,0.6
MG,Bike,82,193,83,23369,1,29035,2024,2025,185283,148157,167,157,0.5
Kia,Car,77,379,74,103045,5,16792,2019,2025,1718241,639556,445,333,0.5
Ola,Car,73,368,134,20310,4,4404,2019,2025,868615,312046,225,201,0.6
TVS,Car,76,246,103,24733,6,13769,2022,2025,2393615,1516627,440,419,0.5
Tata,Bike,61,384,140,122484,5,13661,2020,2025,117934,50260,115,97,0.6
Ola,Bike,90,121,108,98237,3,3137,2024,2025,168579,146204,175,124,0.6
MG,Bike,78,101,146,97597,7,36561,2018,2025,170437,48645,402,366,0.3
Mahindra,Bike,91,202,108,114778,5,14903,2024,2025,174620,147261,130,125,0.6
TVS,Car,87,135,127,144781,6,37106,2020,2025,2650823,1299183,417,336,0.3
Ola,Car,67,393,154,114768,2,16198,2023,2025,2666690,1776951,163,148,0.6
Tata,Bike,99,373,177,18163,7,35345,2023,2025,91469,61217,223,159,0.8
Tata,Bike,98,150,157,106418,7,13563,2020,2025,97340,46872,424,367,0.6
Hyundai,Bike,81,242,133,67449,3,9055,2019,2025,133296,62025,309,235,0.6
Hyundai,Bike,83,483,96,138367,6,4187,2021,2025,138911,79660,375,332,0.8
BYD,Car,97,116,133,84212,7,23783,2022,2025,2804331,1847410,329,249,0.5
MG,Bike,61,467,101,26821,7,13043,2022,2025,99443,67610,344,266,0.6
Kia,Car,78,176,118,43446,4,35262,2019,2025,3466157,1561062,411,314,0.2
Ola,Bike,61,377,134,33859,5,29862,2023,2025,177394,131712,342,297,0.5
Ola,Bike,87,222,154,100489,3,16787,2018,2025,111125,36485,378,268,0.6
Kia,Bike,91,483,69,43693,0,28276,2019,2025,172883,62390,129,119,0.6
BYD,Car,78,445,166,76773,4,33557,2023,2025,3184214,2244381,124,108,0.6
Mahindra,Bike,75,273,161,69181,2,37034,2017,2025,145211,32752,416,361,0.4
Mahindra,Car,89,231,112,134531,6,23191,2018,2025,2583134,679000,175,170,0.4
BYD,Car,81,362,101,51043,4,6788,2021,2025,2950925,1460060,445,342,0.6
Mahindra,Bike,73,493,67,93543,3,18533,2017,2025,183865,45984,398,363,0.5
Hyundai,Car,60,370,134,49796,7,18297,2019,2025,1867986,641669,122,110,0.4
Ola,Car,61,307,143,53147,2,14347,2019,2025,2985467,1035767,403,344,0.4
BYD,Car,81,395,83,149121,2,18468,2024,2025,3351477,2802321,153,107,0.6
Ola,Bike,92,325,110,108827,2,21210,2021,2025,183416,114181,154,124,0.6
Kia,Car,74,288,130,146727,0,37905,2019,2025,2658145,881765,404,287,0.3
Tata,Car,81,457,119,134552,4,9962,2024,2025,2318772,1674721,118,84,0.7
Hyundai,Bike,99,243,80,40975,5,4044,2021,2025,172226,93062,158,141,0.7
TVS,Bike,98,453,167,32284,3,8660,2017,2025,188565,48770,425,331,0.8
Hyundai,Car,70,350,112,7710,6,4280,2021,2025,3000949,1592928,322,238,0.5
BYD,Car,63,475,65,26338,0,9292,2024,2025,1261291,1087444,122,106,0.6
TVS,Car,66,344,90,119437,2,37926,2021,2025,2087668,1079811,319,305,0.3
Tata,Car,80,117,71,40463,5,34032,2018,2025,1933767,694117,134,110,0.2
BYD,Bike,66,302,160,95722,7,31249,2022,2025,138865,96594,246,214,0.5
MG,Bike,63,303,72,25804,3,37147,2020,2025,166335,69013,197,176,0.3
Ola,Car,71,101,108,45126,1,10229,2018,2025,966200,295904,345,254,0.3
Tata,Bike,86,475,90,7775,7,10574,2020,2025,93010,44316,342,316,0.7
Ola,Car,76,153,68,134846,3,12089,2017,2025,3435954,747107,422,369,0.2
Mahindra,Bike,79,265,86,16429,1,13030,2017,2025,168795,33758,406,404,0.4
MG,Bike,90,452,175,137353,1,19706,2019,2025,146127,64459,285,206,0.8
MG,Car,85,428,112,39185,5,32960,2022,2025,2442685,1657055,271,266,0.6
Tata,Car,90,242,140,5740,2,6127,2023,2025,2944263,2013866,329,264,0.6
MG,Car,94,191,174,115052,7,6413,2024,2025,1122707,837639,392,329,0.8
TVS,Car,68,107,110,9555,1,6091,2018,2025,2334582,582468,233,176,0.3
MG,Bike,64,351,131,24470,0,35827,2019,2025,166910,58428,254,253,0.4
Ola,Bike,67,199,86,28411,6,22235,2019,2025,197740,77392,421,328,0.3
Ola,Car,80,138,99,47961,2,7419,2020,2025,2912953,1290049,409,311,0.4
BYD,Bike,75,235,121,34500,7,29529,2018,2025,172426,53443,411,289,0.4
Ola,Bike,75,461,117,65660,7,37655,2024,2025,180620,139367,325,297,0.6
BYD,Car,77,149,74,59940,5,12934,2018,2025,1043207,394744,208,146,0.3
Ola,Car,87,182,98,123263,1,31814,2019,2025,2908535,1085287,383,291,0.3
TVS,Bike,77,353,129,14421,6,28535,2019,2025,106915,45146,378,270,0.5
Kia,Car,73,295,155,133633,4,22920,2019,2025,1736581,675910,377,321,0.5
BYD,Car,96,126,171,115870,6,20705,2020,2025,2219435,1175770,288,258,0.5
Hyundai,Bike,99,176,67,16800,5,38741,2024,2025,141739,111641,354,324,0.5
Mahindra,Bike,75,393,94,92016,5,14276,2022,2025,165223,100826,396,322,0.6
Tata,Car,80,354,122,33258,7,11773,2020,2025,2094219,1088914,182,135,0.6
Ola,Bike,60,120,90,18530,0,36566,2024,2025,138349,118327,141,121,0.3
MG,Car,70,317,165,13047,4,23371,2021,2025,2795139,1602841,126,89,0.5
Kia,Car,70,144,149,58120,3,38471,2023,2025,2078430,1500257,351,282,0.3
Ola,Bike,61,281,101,18164,0,17114,2017,2025,146082,31279,429,418,0.3
MG,Bike,91,385,147,22259,5,20597,2018,2025,168740,61317,175,164,0.7
Mahindra,Car,78,450,174,13184,4,19850,2023,2025,2005457,1442926,398,323,0.7
Mahindra,Car,64,243,125,137636,4,26718,2018,2025,3203811,809068,411,367,0.2
Mahindra,Car,62,151,100,121482,5,19131,2017,2025,1857573,459991,396,322,0.2
MG,Bike,87,350,60,75966,7,37501,2022,2025,180949,123793,148,132,0.5
Ola,Car,85,205,133,130133,2,9134,2024,2025,2707511,2013745,432,418,0.6
Mahindra,Bike,82,396,173,108419,3,32047,2023,2025,150865,109602,376,336,0.7
TVS,Car,89,298,146,18611,0,29527,2019,2025,2150155,807290,415,340,0.5
BYD,Bike,67,436,92,32819,0,23162,2022,2025,98519,56925,421,299,0.6
MG,Car,95,379,167,98040,5,13291,2022,2025,3088889,1904760,374,289,0.7
MG,Bike,88,247,96,118578,5,8678,2023,2025,156370,103748,425,342,0.7
Ola,Car,72,202,116,37922,0,20798,2018,2025,2575600,753071,389,353,0.3
MG,Car,84,101,70,6115,1,20311,2018,2025,1516660,406194,421,330,0.3
MG,Car,81,355,143,82828,0,22715,2019,2025,2176169,873742,421,402,0.5
Mahindra,Car,92,159,149,130610,1,12936,2018,2025,1895550,460631,443,425,0.5
Ola,Bike,96,406,169,17287,2,29360,2022,2025,196582,123573,225,194,0.8
Mahindra,Bike,66,484,106,18862,7,21769,2023,2025,146167,100514,442,412,0.6
BYD,Bike,82,190,125,90468,1,31009,2020,2025,185542,96701,376,329,0.4
Kia,Bike,65,200,148,35107,7,33464,2017,2025,118551,29421,309,271,0.3
BYD,Bike,74,213,63,30994,3,29256,2020,2025,171742,82452,317,275,0.3
Kia,Car,74,361,142,23466,6,36439,2020,2025,2242644,955481,308,273,0.4
Mahindra,Bike,99,153,136,117700,5,24799,2024,2025,186118,140319,405,336,0.7
BYD,Bike,93,287,142,116891,1,26920,2018,2025,123250,38037,215,190,0.6
Ola,Bike,73,126,136,9921,5,16993,2020,2025,180292,77386,158,125,0.4
Tata,Bike,88,339,114,97771,3,11350,2021,2025,99066,50359,407,372,0.7
Mahindra,Car,75,179,71,41061,3,39453,2020,2025,1486110,670297,369,305,0.2
Kia,Car,88,289,125,37697,3,3410,2018,2025,3216004,799541,134,117,0.5
TVS,Car,82,418,96,91463,3,26416,2024,2025,1289729,956334,223,213,0.6
Kia,Car,69,454,173,30229,6,28936,2019,2025,1511223,660991,306,219,0.6
TVS,Bike,63,190,82,25736,6,6814,2019,2025,88964,37208,162,160,0.4
MG,Bike,71,134,114,73086,0,14704,2022,2025,193365,133622,360,348,0.4
BYD,Car,93,157,78,123362,5,36482,2018,2025,1980190,646340,187,159,0.3
TVS,Car,63,288,126,6292,3,38717,2024,2025,2458308,2013424,410,370,0.4
Kia,Bike,79,352,147,34858,4,38037,2020,2025,144075,62294,404,343,0.5
MG,Bike,87,135,82,144143,2,3081,2017,2025,150633,30126,314,293,0.4
Tata,Car,87,457,63,104857,4,36576,2020,2025,1323965,637419,425,316,0.5
Ola,Car,65,191,77,62626,0,7483,2023,2025,1786902,1274997,277,220,0.4
Ola,Car,73,155,71,145344,3,15808,2020,2025,2891621,1210708,209,189,0.3
Ola,Car,94,166,94,9977,1,11237,2024,2025,2472903,1954848,142,131,0.6
TVS,Bike,60,412,86,125511,5,6764,2017,2025,127878,25575,401,378,0.5
Tata,Bike,78,268,102,74314,6,12400,2020,2025,197921,84048,315,251,0.5
TVS,Bike,60,386,137,31104,0,29595,2023,2025,199168,143822,247,211,0.5
BYD,Car,72,230,154,86608,2,35391,2024,2025,2960870,2160654,101,77,0.4
TVS,Bike,67,265,126,56606,7,29637,2020,2025,131101,56685,265,231,0.4
Tata,Bike,77,151,128,93499,1,11153,2023,2025,95753,61895,190,174,0.6
Tata,Car,94,251,123,92814,6,3356,2021,2025,1595175,954976,153,107,0.7
BYD,Car,82,204,152,103178,1,19696,2021,2025,961157,505944,215,150,0.5
Tata,Car,85,466,162,23310,3,7636,2023,2025,2723748,1775529,236,194,0.8
Kia,Car,97,191,111,111444,2,10015,2022,2025,1859725,1319838,375,309,0.6
Tata,Car,79,300,76,99120,5,19862,2018,2025,1893511,710827,395,342,0.4
Ola,Car,61,392,142,22128,5,27330,2020,2025,1470058,781794,143,117,0.5
Kia,Bike,85,472,158,57035,6,25809,2022,2025,166018,107759,138,125,0.8
Kia,Bike,95,318,92,35149,2,28792,2023,2025,130114,85711,351,278,0.6
BYD,Bike,84,166,131,148868,1,9205,2019,2025,86102,34277,348,263,0.5
Hyundai,Bike,89,268,111,13553,2,11852,2019,2025,171972,78730,249,232,0.6
Hyundai,Bike,77,404,160,122014,7,7464,2018,2025,119682,42754,413,320,0.7
Tata,Bike,66,127,94,85222,4,26989,2021,2025,102245,59051,274,245,0.3
Kia,Car,86,387,79,132187,3,15550,2018,2025,1517455,391246,154,110,0.5
Hyundai,Car,70,454,140,137230,7,17858,2024,2025,900790,756567,192,179,0.7
Hyundai,Car,96,426,104,34179,3,35601,2023,2025,1570284,1074737,341,262,0.7
Tata,Bike,67,131,136,36204,4,14215,2018,2025,186873,49077,252,206,0.4
Hyundai,Bike,70,265,127,42881,4,10097,2019,2025,166752,65544,217,195,0.5
TVS,Car,83,235,109,124538,2,21551,2023,2025,876196,611276,247,181,0.5
MG,Car,89,167,117,100928,1,5581,2021,2025,3022209,1659350,280,213,0.5
BYD,Car,89,253,89,9803,2,13342,2021,2025,2530923,1305421,331,270,0.5
MG,Car,74,425,129,35603,4,3940,2020,2025,1693253,798504,212,167,0.6
Tata,Car,94,403,61,134550,3,15832,2023,2025,2343358,1519880,254,202,0.6
Ola,Bike,98,195,138,20456,3,36052,2018,2025,171083,44519,252,178,0.5
BYD,Bike,83,296,93,49755,3,6768,2022,2025,152990,91412,338,291,0.6
Tata,Bike,67,207,111,54155,2,23298,2020,2025,147870,73956,367,276,0.4
Kia,Car,79,145,143,135800,5,32347,2017,2025,920479,202077,184,182,0.3
Ola,Bike,85,285,75,135696,7,25270,2019,2025,106567,48029,406,300,0.5
